========Trial 0 params: {'n_layers': 2, 'K': 3, 'Dropout': 0.3, 'Hidden0': 32, 'Hidden1': 256, 'optimizer': 'Adam', 'lr': 0.014841171742650953, 'batch': 32}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |    2304    |
|    sptH.0.gcn.bias     |     32     |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.sAtt.Vs     |    729     |
|     sptH.2.sAtt.bs     |    729     |
|     sptH.2.sAtt.W1     |     32     |
|     sptH.2.sAtt.W2     |     32     |
|     sptH.2.sAtt.W3     |     1      |
|   sptH.2.gcn.weight    |   24576    |
|    sptH.2.gcn.bias     |    256     |
| sptH.2.timeConv.weight |     3      |
|  sptH.2.timeConv.bias  |     1      |
|     sptH.4.weight      |    3072    |
|      sptH.4.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
|     sptD.0.sAtt.W1     |     12     |
|     sptD.0.sAtt.W2     |     12     |
|     sptD.0.sAtt.W3     |     1      |
|   sptD.0.gcn.weight    |    1152    |
|    sptD.0.gcn.bias     |     32     |
| sptD.0.timeConv.weight |     3      |
|  sptD.0.timeConv.bias  |     1      |
|     sptD.2.sAtt.Vs     |    729     |
|     sptD.2.sAtt.bs     |    729     |
|     sptD.2.sAtt.W1     |     32     |
|     sptD.2.sAtt.W2     |     32     |
|     sptD.2.sAtt.W3     |     1      |
|   sptD.2.gcn.weight    |   24576    |
|    sptD.2.gcn.bias     |    256     |
| sptD.2.timeConv.weight |     3      |
|  sptD.2.timeConv.bias  |     1      |
|     sptD.4.weight      |    3072    |
|      sptD.4.bias       |     12     |
|     sptW.0.sAtt.Vs     |    729     |
|     sptW.0.sAtt.bs     |    729     |
|     sptW.0.sAtt.W1     |     24     |
|     sptW.0.sAtt.W2     |     24     |
|     sptW.0.sAtt.W3     |     1      |
|   sptW.0.gcn.weight    |    2304    |
|    sptW.0.gcn.bias     |     32     |
| sptW.0.timeConv.weight |     3      |
|  sptW.0.timeConv.bias  |     1      |
|     sptW.2.sAtt.Vs     |    729     |
|     sptW.2.sAtt.bs     |    729     |
|     sptW.2.sAtt.W1     |     32     |
|     sptW.2.sAtt.W2     |     32     |
|     sptW.2.sAtt.W3     |     1      |
|   sptW.2.gcn.weight    |   24576    |
|    sptW.2.gcn.bias     |    256     |
| sptW.2.timeConv.weight |     3      |
|  sptW.2.timeConv.bias  |     1      |
|     sptW.4.weight      |    3072    |
|      sptW.4.bias       |     12     |
|       Fusion.Wh        |     12     |
|       Fusion.Wd        |     12     |
|       Fusion.Ww        |     12     |
+------------------------+------------+
Total Trainable Params: 98730
 Trial: 0 Epoch: 0, train_loss: 108917.75390625, validation_loss = 9993.1728515625
 Trial: 22 Epoch: 34, train_loss: 24364.086303710938, validation_loss = 3386.643310546875
 Trial: 22 Epoch: 35, train_loss: 25683.589965820312, validation_loss = 3636.40625
 Trial: 22 Epoch: 36, train_loss: 24950.21466064453, validation_loss = 4135.56787109375
 Trial: 22 Epoch: 37, train_loss: 21632.156860351562, validation_loss = 3302.44873046875
 Trial: 22 Epoch: 38, train_loss: 20835.09600830078, validation_loss = 3192.077392578125
 Trial: 22 Epoch: 39, train_loss: 22830.157836914062, validation_loss = 3528.1243896484375
 Trial: 22 Epoch: 40, train_loss: 24560.286193847656, validation_loss = 4340.989990234375
 Trial: 22 Epoch: 41, train_loss: 25654.39990234375, validation_loss = 4831.55859375
 Trial: 22 Epoch: 42, train_loss: 21537.524047851562, validation_loss = 3455.6563720703125
 Trial: 22 Epoch: 43, train_loss: 20995.976440429688, validation_loss = 4228.8067626953125
 Trial: 22 Epoch: 44, train_loss: 24974.245361328125, validation_loss = 3503.3958740234375
 Trial: 22 Epoch: 45, train_loss: 21594.98162841797, validation_loss = 3449.049560546875
 Trial: 22 Epoch: 46, train_loss: 19933.418090820312, validation_loss = 2943.5186767578125
 Trial: 22 Epoch: 47, train_loss: 23921.2548828125, validation_loss = 3822.732666015625
 Trial: 22 Epoch: 48, train_loss: 22039.438232421875, validation_loss = 3280.526123046875
 Trial: 22 Epoch: 49, train_loss: 19297.15301513672, validation_loss = 3327.4256591796875
 Trial: 22 Epoch: 50, train_loss: 19165.240112304688, validation_loss = 3157.716552734375
 Trial: 22 Epoch: 51, train_loss: 18425.935424804688, validation_loss = 3172.37255859375
 Trial: 22 Epoch: 52, train_loss: 19632.742553710938, validation_loss = 3519.555908203125
 Trial: 22 Epoch: 53, train_loss: 19349.858032226562, validation_loss = 3015.2947998046875
 Trial: 22 Epoch: 54, train_loss: 20066.220764160156, validation_loss = 3213.8092041015625
 Trial: 22 Epoch: 55, train_loss: 19135.216186523438, validation_loss = 3613.0245361328125
 Trial: 22 Epoch: 56, train_loss: 19329.95037841797, validation_loss = 3483.2237548828125
 Trial: 22 Epoch: 57, train_loss: 19324.760803222656, validation_loss = 3223.5264892578125
 Trial: 22 Epoch: 58, train_loss: 20890.532592773438, validation_loss = 3412.1578369140625
 Trial: 22 Epoch: 59, train_loss: 22411.99542236328, validation_loss = 3957.56982421875
 Trial: 22 Epoch: 60, train_loss: 20578.313598632812, validation_loss = 3365.4722900390625
 Trial: 22 Epoch: 61, train_loss: 18600.13299560547, validation_loss = 3262.2659912109375
 Trial: 22 Epoch: 62, train_loss: 18358.713989257812, validation_loss = 3191.904296875
 Trial: 22 Epoch: 63, train_loss: 18237.433532714844, validation_loss = 3150.48779296875
 Trial: 22 Epoch: 64, train_loss: 18275.620727539062, validation_loss = 3175.9227294921875
 Trial: 22 Epoch: 65, train_loss: 18759.737060546875, validation_loss = 3383.486328125
 Trial: 22 Epoch: 66, train_loss: 17638.934448242188, validation_loss = 3075.7855224609375
 Trial: 22 Epoch: 67, train_loss: 18099.896423339844, validation_loss = 3726.8592529296875
 Trial: 22 Epoch: 68, train_loss: 19130.54541015625, validation_loss = 3622.91552734375
 Trial: 22 Epoch: 69, train_loss: 19379.961364746094, validation_loss = 4147.400634765625
 Trial: 22 Epoch: 70, train_loss: 22441.627563476562, validation_loss = 2868.0142822265625
 Trial: 22 Epoch: 71, train_loss: 21608.957641601562, validation_loss = 3882.894775390625
 Trial: 22 Epoch: 72, train_loss: 18716.912170410156, validation_loss = 4070.09130859375
 Trial: 22 Epoch: 73, train_loss: 21592.938903808594, validation_loss = 4044.1446533203125
 Trial: 22 Epoch: 74, train_loss: 20099.855407714844, validation_loss = 3166.076416015625
 Trial: 22 Epoch: 75, train_loss: 19065.95947265625, validation_loss = 3345.2845458984375
 Trial: 22 Epoch: 76, train_loss: 19800.908935546875, validation_loss = 3834.359375
 Trial: 22 Epoch: 77, train_loss: 18764.29345703125, validation_loss = 2930.7587890625
 Trial: 22 Epoch: 78, train_loss: 19064.603942871094, validation_loss = 3106.2724609375
 Trial: 22 Epoch: 79, train_loss: 18795.552124023438, validation_loss = 3069.4345703125
 Trial: 22 Epoch: 80, train_loss: 18270.55712890625, validation_loss = 3362.273193359375
 Trial: 22 Epoch: 81, train_loss: 18629.754028320312, validation_loss = 3579.8404541015625
 Trial: 22 Epoch: 82, train_loss: 19230.805297851562, validation_loss = 3446.1199951171875
 Trial: 22 Epoch: 83, train_loss: 18188.892822265625, validation_loss = 3121.650146484375
 Trial: 22 Epoch: 84, train_loss: 19215.026123046875, validation_loss = 4044.1978759765625
 Trial: 22 Epoch: 85, train_loss: 20371.180419921875, validation_loss = 3295.296142578125
 Trial: 22 Epoch: 86, train_loss: 20759.600830078125, validation_loss = 2952.10107421875
 Trial: 22 Epoch: 87, train_loss: 18085.539672851562, validation_loss = 3004.4814453125
 Trial: 22 Epoch: 88, train_loss: 17053.488708496094, validation_loss = 3238.0906982421875
 Trial: 22 Epoch: 89, train_loss: 18285.160217285156, validation_loss = 3551.6492919921875
 Trial: 22 Epoch: 90, train_loss: 18029.256469726562, validation_loss = 3031.664306640625
 Trial: 22 Epoch: 91, train_loss: 17489.417602539062, validation_loss = 2954.27490234375
 Trial: 22 Epoch: 92, train_loss: 17367.452697753906, validation_loss = 3501.55712890625
 Trial: 22 Epoch: 93, train_loss: 18886.80108642578, validation_loss = 3665.05712890625
 Trial: 22 Epoch: 94, train_loss: 17589.534729003906, validation_loss = 3088.30615234375
 Trial: 22 Epoch: 95, train_loss: 17089.593872070312, validation_loss = 3077.9456787109375
 Trial: 22 Epoch: 96, train_loss: 17112.89276123047, validation_loss = 3015.9942626953125
 Trial: 22 Epoch: 97, train_loss: 17734.2822265625, validation_loss = 3166.841064453125
 Trial: 22 Epoch: 98, train_loss: 18394.20526123047, validation_loss = 3238.9254150390625
 Trial: 22 Epoch: 99, train_loss: 18357.078979492188, validation_loss = 3534.897705078125
========Trial 23 params: {'n_layers': 2, 'K': 3, 'Dropout': 0.2, 'Hidden0': 32, 'Hidden1': 64, 'optimizer': 'Adam', 'lr': 0.010048064721992189, 'batch': 4}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |    2304    |
|    sptH.0.gcn.bias     |     32     |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.sAtt.Vs     |    729     |
|     sptH.2.sAtt.bs     |    729     |
|     sptH.2.sAtt.W1     |     32     |
|     sptH.2.sAtt.W2     |     32     |
|     sptH.2.sAtt.W3     |     1      |
|   sptH.2.gcn.weight    |    6144    |
|    sptH.2.gcn.bias     |     64     |
| sptH.2.timeConv.weight |     3      |
|  sptH.2.timeConv.bias  |     1      |
|     sptH.4.weight      |    768     |
|      sptH.4.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
|     sptD.0.sAtt.W1     |     12     |
|     sptD.0.sAtt.W2     |     12     |
|     sptD.0.sAtt.W3     |     1      |
|   sptD.0.gcn.weight    |    1152    |
|    sptD.0.gcn.bias     |     32     |
| sptD.0.timeConv.weight |     3      |
|  sptD.0.timeConv.bias  |     1      |
|     sptD.2.sAtt.Vs     |    729     |
|     sptD.2.sAtt.bs     |    729     |
|     sptD.2.sAtt.W1     |     32     |
|     sptD.2.sAtt.W2     |     32     |
|     sptD.2.sAtt.W3     |     1      |
|   sptD.2.gcn.weight    |    6144    |
|    sptD.2.gcn.bias     |     64     |
| sptD.2.timeConv.weight |     3      |
|  sptD.2.timeConv.bias  |     1      |
|     sptD.4.weight      |    768     |
|      sptD.4.bias       |     12     |
|     sptW.0.sAtt.Vs     |    729     |
|     sptW.0.sAtt.bs     |    729     |
|     sptW.0.sAtt.W1     |     24     |
|     sptW.0.sAtt.W2     |     24     |
|     sptW.0.sAtt.W3     |     1      |
|   sptW.0.gcn.weight    |    2304    |
|    sptW.0.gcn.bias     |     32     |
| sptW.0.timeConv.weight |     3      |
|  sptW.0.timeConv.bias  |     1      |
|     sptW.2.sAtt.Vs     |    729     |
|     sptW.2.sAtt.bs     |    729     |
|     sptW.2.sAtt.W1     |     32     |
|     sptW.2.sAtt.W2     |     32     |
|     sptW.2.sAtt.W3     |     1      |
|   sptW.2.gcn.weight    |    6144    |
|    sptW.2.gcn.bias     |     64     |
| sptW.2.timeConv.weight |     3      |
|  sptW.2.timeConv.bias  |     1      |
|     sptW.4.weight      |    768     |
|      sptW.4.bias       |     12     |
|       Fusion.Wh        |     12     |
|       Fusion.Wd        |     12     |
|       Fusion.Ww        |     12     |
+------------------------+------------+
Total Trainable Params: 35946
 Trial: 23 Epoch: 0, train_loss: 137909.49731445312, validation_loss = 6072.459228515625
 Trial: 23 Epoch: 1, train_loss: 53649.319091796875, validation_loss = 7764.73974609375
 Trial: 23 Epoch: 2, train_loss: 41594.758056640625, validation_loss = 5256.54345703125
 Trial: 23 Epoch: 3, train_loss: 37593.99609375, validation_loss = 6649.246826171875
 Trial: 23 Epoch: 4, train_loss: 32303.598266601562, validation_loss = 5681.809326171875
 Trial: 23 Epoch: 5, train_loss: 32666.3359375, validation_loss = 4367.84765625
 Trial: 23 Epoch: 6, train_loss: 31379.36572265625, validation_loss = 4265.90234375
 Trial: 23 Epoch: 7, train_loss: 28750.192138671875, validation_loss = 4883.089111328125
 Trial: 23 Epoch: 8, train_loss: 30336.535766601562, validation_loss = 6145.148193359375
 Trial: 23 Epoch: 9, train_loss: 32932.91809082031, validation_loss = 4859.9814453125
 Trial: 23 Epoch: 10, train_loss: 34319.74035644531, validation_loss = 9416.706298828125
 Trial: 23 Epoch: 11, train_loss: 32027.073486328125, validation_loss = 4491.5733642578125
 Trial: 23 Epoch: 12, train_loss: 28218.408203125, validation_loss = 4153.31689453125
 Trial: 23 Epoch: 13, train_loss: 28593.863403320312, validation_loss = 4291.7509765625
 Trial: 23 Epoch: 14, train_loss: 32675.072631835938, validation_loss = 5116.824462890625
 Trial: 23 Epoch: 15, train_loss: 28383.092407226562, validation_loss = 4471.244140625
 Trial: 23 Epoch: 16, train_loss: 27925.731811523438, validation_loss = 4022.9093017578125
 Trial: 23 Epoch: 17, train_loss: 29166.754150390625, validation_loss = 5719.07470703125
 Trial: 23 Epoch: 18, train_loss: 30976.201904296875, validation_loss = 4251.9246826171875
 Trial: 23 Epoch: 19, train_loss: 31629.254638671875, validation_loss = 4579.269775390625
 Trial: 23 Epoch: 20, train_loss: 32815.93151855469, validation_loss = 11980.560302734375
 Trial: 23 Epoch: 21, train_loss: 50477.3193359375, validation_loss = 4041.6048583984375
 Trial: 23 Epoch: 22, train_loss: 33121.40661621094, validation_loss = 4847.735595703125
 Trial: 23 Epoch: 23, train_loss: 28222.271606445312, validation_loss = 4086.7479248046875
 Trial: 23 Epoch: 24, train_loss: 28044.7294921875, validation_loss = 5773.1761474609375
 Trial: 23 Epoch: 25, train_loss: 29532.379272460938, validation_loss = 3974.641845703125
 Trial: 23 Epoch: 26, train_loss: 25765.694091796875, validation_loss = 4390.8936767578125
 Trial: 23 Epoch: 27, train_loss: 25046.15380859375, validation_loss = 4264.1475830078125
 Trial: 23 Epoch: 28, train_loss: 25586.077209472656, validation_loss = 4190.7642822265625
 Trial: 23 Epoch: 29, train_loss: 29990.975952148438, validation_loss = 5681.861083984375
 Trial: 23 Epoch: 30, train_loss: 25308.887084960938, validation_loss = 3657.6986083984375
 Trial: 23 Epoch: 31, train_loss: 25434.037963867188, validation_loss = 4203.80810546875
 Trial: 23 Epoch: 32, train_loss: 29654.909545898438, validation_loss = 3750.31689453125
 Trial: 23 Epoch: 33, train_loss: 26560.412841796875, validation_loss = 4391.689453125
 Trial: 23 Epoch: 34, train_loss: 23791.521850585938, validation_loss = 3707.669677734375
 Trial: 23 Epoch: 35, train_loss: 23831.348266601562, validation_loss = 3770.3095703125
 Trial: 23 Epoch: 36, train_loss: 24663.970275878906, validation_loss = 3690.83447265625
 Trial: 23 Epoch: 37, train_loss: 23235.425048828125, validation_loss = 3178.6158447265625
 Trial: 23 Epoch: 38, train_loss: 23906.614013671875, validation_loss = 4350.1207275390625
 Trial: 23 Epoch: 39, train_loss: 25364.59619140625, validation_loss = 3659.1611328125
 Trial: 23 Epoch: 40, train_loss: 25659.702758789062, validation_loss = 3884.1793212890625
 Trial: 23 Epoch: 41, train_loss: 24997.974609375, validation_loss = 4096.9775390625
 Trial: 23 Epoch: 42, train_loss: 21863.205200195312, validation_loss = 4034.314208984375
 Trial: 23 Epoch: 43, train_loss: 24349.461303710938, validation_loss = 4462.00732421875
 Trial: 23 Epoch: 44, train_loss: 30538.390014648438, validation_loss = 3486.103759765625
 Trial: 23 Epoch: 45, train_loss: 24611.63916015625, validation_loss = 4405.6761474609375
 Trial: 23 Epoch: 46, train_loss: 22761.089965820312, validation_loss = 3500.7972412109375
 Trial: 23 Epoch: 47, train_loss: 29147.108642578125, validation_loss = 3533.7298583984375
 Trial: 23 Epoch: 48, train_loss: 22987.059997558594, validation_loss = 3310.7874755859375
 Trial: 23 Epoch: 49, train_loss: 21391.45721435547, validation_loss = 3754.45166015625
 Trial: 23 Epoch: 50, train_loss: 21025.602783203125, validation_loss = 3706.7955322265625
 Trial: 23 Epoch: 51, train_loss: 21485.692138671875, validation_loss = 3221.45068359375
 Trial: 23 Epoch: 52, train_loss: 21035.950073242188, validation_loss = 3605.857666015625
 Trial: 23 Epoch: 53, train_loss: 20971.816345214844, validation_loss = 3025.5479736328125
 Trial: 23 Epoch: 54, train_loss: 21926.02655029297, validation_loss = 3458.1422119140625
 Trial: 23 Epoch: 55, train_loss: 19857.026916503906, validation_loss = 3821.2626953125
 Trial: 23 Epoch: 56, train_loss: 20110.556701660156, validation_loss = 3342.7437744140625
 Trial: 23 Epoch: 57, train_loss: 22228.345458984375, validation_loss = 3763.406005859375
 Trial: 23 Epoch: 58, train_loss: 22353.213134765625, validation_loss = 3273.905517578125
 Trial: 23 Epoch: 59, train_loss: 22526.151000976562, validation_loss = 3962.7882080078125
 Trial: 23 Epoch: 60, train_loss: 22601.77294921875, validation_loss = 3299.1712646484375
 Trial: 23 Epoch: 61, train_loss: 20767.362670898438, validation_loss = 3252.896240234375
 Trial: 23 Epoch: 62, train_loss: 21572.299072265625, validation_loss = 3328.5933837890625
 Trial: 23 Epoch: 63, train_loss: 20713.052673339844, validation_loss = 3246.0714111328125
 Trial: 23 Epoch: 64, train_loss: 20370.292541503906, validation_loss = 3627.5723876953125
 Trial: 23 Epoch: 65, train_loss: 21551.721435546875, validation_loss = 3411.505859375
 Trial: 23 Epoch: 66, train_loss: 20051.351684570312, validation_loss = 3235.978515625
 Trial: 23 Epoch: 67, train_loss: 20090.837524414062, validation_loss = 4733.4869384765625
 Trial: 23 Epoch: 68, train_loss: 22891.218627929688, validation_loss = 3674.782470703125
 Trial: 23 Epoch: 69, train_loss: 22242.793701171875, validation_loss = 3801.438232421875
 Trial: 23 Epoch: 70, train_loss: 21664.77880859375, validation_loss = 3579.1370849609375
 Trial: 23 Epoch: 71, train_loss: 20358.2109375, validation_loss = 3323.5706787109375
 Trial: 23 Epoch: 72, train_loss: 20112.02569580078, validation_loss = 3156.197021484375
 Trial: 23 Epoch: 73, train_loss: 20365.276428222656, validation_loss = 3392.5401611328125
 Trial: 23 Epoch: 74, train_loss: 19751.913146972656, validation_loss = 4007.306396484375
 Trial: 23 Epoch: 75, train_loss: 20129.740783691406, validation_loss = 3359.4185791015625
 Trial: 23 Epoch: 76, train_loss: 21511.903686523438, validation_loss = 3706.9815673828125
 Trial: 23 Epoch: 77, train_loss: 18866.991088867188, validation_loss = 3987.6572265625
 Trial: 23 Epoch: 78, train_loss: 19969.076782226562, validation_loss = 3412.280517578125
 Trial: 23 Epoch: 79, train_loss: 21184.127685546875, validation_loss = 3525.5185546875
 Trial: 23 Epoch: 80, train_loss: 20463.330932617188, validation_loss = 3345.5562744140625
 Trial: 23 Epoch: 81, train_loss: 19719.387573242188, validation_loss = 3351.5360107421875
 Trial: 23 Epoch: 82, train_loss: 24211.30224609375, validation_loss = 3138.9058837890625
 Trial: 23 Epoch: 83, train_loss: 22262.27362060547, validation_loss = 3056.290771484375
 Trial: 23 Epoch: 84, train_loss: 22872.600463867188, validation_loss = 3995.2579345703125
 Trial: 23 Epoch: 85, train_loss: 21564.53253173828, validation_loss = 3279.4613037109375
 Trial: 23 Epoch: 86, train_loss: 22438.210205078125, validation_loss = 3198.3917236328125
 Trial: 23 Epoch: 87, train_loss: 21572.215942382812, validation_loss = 3740.960693359375
 Trial: 23 Epoch: 88, train_loss: 20393.33917236328, validation_loss = 3295.1253662109375
 Trial: 23 Epoch: 89, train_loss: 22135.608032226562, validation_loss = 3268.3482666015625
 Trial: 23 Epoch: 90, train_loss: 19800.832641601562, validation_loss = 3558.937255859375
 Trial: 23 Epoch: 91, train_loss: 19747.611572265625, validation_loss = 3199.7442626953125
 Trial: 23 Epoch: 92, train_loss: 19485.5126953125, validation_loss = 3446.63818359375
 Trial: 23 Epoch: 93, train_loss: 20815.80096435547, validation_loss = 3525.8482666015625
 Trial: 23 Epoch: 94, train_loss: 19250.033569335938, validation_loss = 3225.5029296875
 Trial: 23 Epoch: 95, train_loss: 18486.791442871094, validation_loss = 3821.7513427734375
 Trial: 23 Epoch: 96, train_loss: 20889.098999023438, validation_loss = 3710.390869140625
 Trial: 23 Epoch: 97, train_loss: 21057.061157226562, validation_loss = 3407.8050537109375
 Trial: 23 Epoch: 98, train_loss: 20016.206787109375, validation_loss = 3533.7657470703125
 Trial: 23 Epoch: 99, train_loss: 19930.87451171875, validation_loss = 3232.0517578125
========Trial 24 params: {'n_layers': 2, 'K': 2, 'Dropout': 0.2, 'Hidden0': 32, 'Hidden1': 64, 'optimizer': 'Adam', 'lr': 0.010501244232612846, 'batch': 4}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |    1536    |
|    sptH.0.gcn.bias     |     32     |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.sAtt.Vs     |    729     |
|     sptH.2.sAtt.bs     |    729     |
|     sptH.2.sAtt.W1     |     32     |
|     sptH.2.sAtt.W2     |     32     |
|     sptH.2.sAtt.W3     |     1      |
|   sptH.2.gcn.weight    |    4096    |
|    sptH.2.gcn.bias     |     64     |
| sptH.2.timeConv.weight |     3      |
|  sptH.2.timeConv.bias  |     1      |
|     sptH.4.weight      |    768     |
|      sptH.4.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
|     sptD.0.sAtt.W1     |     12     |
|     sptD.0.sAtt.W2     |     12     |
|     sptD.0.sAtt.W3     |     1      |
|   sptD.0.gcn.weight    |    768     |
|    sptD.0.gcn.bias     |     32     |
| sptD.0.timeConv.weight |     3      |
|  sptD.0.timeConv.bias  |     1      |
|     sptD.2.sAtt.Vs     |    729     |
|     sptD.2.sAtt.bs     |    729     |
|     sptD.2.sAtt.W1     |     32     |
|     sptD.2.sAtt.W2     |     32     |
|     sptD.2.sAtt.W3     |     1      |
|   sptD.2.gcn.weight    |    4096    |
|    sptD.2.gcn.bias     |     64     |
| sptD.2.timeConv.weight |     3      |
|  sptD.2.timeConv.bias  |     1      |
|     sptD.4.weight      |    768     |
|      sptD.4.bias       |     12     |
|     sptW.0.sAtt.Vs     |    729     |
|     sptW.0.sAtt.bs     |    729     |
|     sptW.0.sAtt.W1     |     24     |
|     sptW.0.sAtt.W2     |     24     |
|     sptW.0.sAtt.W3     |     1      |
|   sptW.0.gcn.weight    |    1536    |
|    sptW.0.gcn.bias     |     32     |
| sptW.0.timeConv.weight |     3      |
|  sptW.0.timeConv.bias  |     1      |
|     sptW.2.sAtt.Vs     |    729     |
|     sptW.2.sAtt.bs     |    729     |
|     sptW.2.sAtt.W1     |     32     |
|     sptW.2.sAtt.W2     |     32     |
|     sptW.2.sAtt.W3     |     1      |
|   sptW.2.gcn.weight    |    4096    |
|    sptW.2.gcn.bias     |     64     |
| sptW.2.timeConv.weight |     3      |
|  sptW.2.timeConv.bias  |     1      |
|     sptW.4.weight      |    768     |
|      sptW.4.bias       |     12     |
|       Fusion.Wh        |     12     |
|       Fusion.Wd        |     12     |
|       Fusion.Ww        |     12     |
+------------------------+------------+
Total Trainable Params: 27882
 Trial: 24 Epoch: 0, train_loss: 227247.654296875, validation_loss = 11643.46728515625
 Trial: 24 Epoch: 1, train_loss: 71948.05639648438, validation_loss = 7036.121826171875
 Trial: 24 Epoch: 2, train_loss: 51152.8798828125, validation_loss = 6883.9453125
 Trial: 24 Epoch: 3, train_loss: 48702.39501953125, validation_loss = 5237.61474609375
 Trial: 24 Epoch: 4, train_loss: 42008.546142578125, validation_loss = 4802.19970703125
 Trial: 24 Epoch: 5, train_loss: 39840.02575683594, validation_loss = 4904.19482421875
 Trial: 24 Epoch: 6, train_loss: 35941.576904296875, validation_loss = 6812.628662109375
 Trial: 24 Epoch: 7, train_loss: 34836.02294921875, validation_loss = 5862.3406982421875
 Trial: 24 Epoch: 8, train_loss: 33880.48498535156, validation_loss = 4389.7900390625
 Trial: 24 Epoch: 9, train_loss: 35119.15380859375, validation_loss = 4567.974609375
 Trial: 24 Epoch: 10, train_loss: 34947.18957519531, validation_loss = 5030.3253173828125
 Trial: 24 Epoch: 11, train_loss: 33991.925048828125, validation_loss = 6404.612060546875
 Trial: 24 Epoch: 12, train_loss: 34490.96337890625, validation_loss = 4400.203857421875
 Trial: 24 Epoch: 13, train_loss: 29063.13134765625, validation_loss = 3838.21484375
 Trial: 24 Epoch: 14, train_loss: 28568.628784179688, validation_loss = 4203.5308837890625
 Trial: 24 Epoch: 15, train_loss: 28660.21923828125, validation_loss = 4205.5299072265625
 Trial: 24 Epoch: 16, train_loss: 27497.914916992188, validation_loss = 3536.4261474609375
 Trial: 24 Epoch: 17, train_loss: 28829.804748535156, validation_loss = 3760.465576171875
 Trial: 24 Epoch: 18, train_loss: 26944.57861328125, validation_loss = 3978.902587890625
 Trial: 24 Epoch: 19, train_loss: 29419.6650390625, validation_loss = 3681.1236572265625
 Trial: 24 Epoch: 20, train_loss: 31608.436645507812, validation_loss = 4142.3465576171875
 Trial: 24 Epoch: 21, train_loss: 30554.70147705078, validation_loss = 4287.5164794921875
 Trial: 24 Epoch: 22, train_loss: 28171.4130859375, validation_loss = 4115.6180419921875
 Trial: 24 Epoch: 23, train_loss: 26729.109130859375, validation_loss = 3887.9442138671875
 Trial: 24 Epoch: 24, train_loss: 25666.438232421875, validation_loss = 4690.4854736328125
 Trial: 24 Epoch: 25, train_loss: 25120.851440429688, validation_loss = 3609.2689208984375
 Trial: 24 Epoch: 26, train_loss: 26635.333374023438, validation_loss = 3478.502685546875
 Trial: 24 Epoch: 27, train_loss: 29057.330932617188, validation_loss = 6051.326416015625
 Trial: 24 Epoch: 28, train_loss: 30587.6015625, validation_loss = 4312.142822265625
 Trial: 24 Epoch: 29, train_loss: 29999.494995117188, validation_loss = 5095.15673828125
 Trial: 24 Epoch: 30, train_loss: 29711.99072265625, validation_loss = 4868.5352783203125
 Trial: 24 Epoch: 31, train_loss: 26249.128662109375, validation_loss = 3898.0948486328125
 Trial: 24 Epoch: 32, train_loss: 25060.412475585938, validation_loss = 3440.436767578125
 Trial: 24 Epoch: 33, train_loss: 24101.620361328125, validation_loss = 3681.0098876953125
 Trial: 24 Epoch: 34, train_loss: 24348.67236328125, validation_loss = 4219.75390625
 Trial: 24 Epoch: 35, train_loss: 26587.276977539062, validation_loss = 3402.4747314453125
 Trial: 24 Epoch: 36, train_loss: 24007.6650390625, validation_loss = 3967.259033203125
 Trial: 24 Epoch: 37, train_loss: 23722.795166015625, validation_loss = 3507.6661376953125
 Trial: 24 Epoch: 38, train_loss: 23294.51611328125, validation_loss = 3493.267578125
 Trial: 24 Epoch: 39, train_loss: 23442.291015625, validation_loss = 3617.21142578125
 Trial: 24 Epoch: 40, train_loss: 24084.772827148438, validation_loss = 3340.48779296875
 Trial: 24 Epoch: 41, train_loss: 24926.452270507812, validation_loss = 4577.4229736328125
 Trial: 24 Epoch: 42, train_loss: 26138.169189453125, validation_loss = 3470.84423828125
